2024-01-05  [34] [FixSender] (DEBUG) Sending 8=FIX.4.4|9=58|35=0|49=FIXCLIENT1|56=DMA_HUB|34=181|52=20240105-08:18:33|10=096|
2024-01-05 09:18:36.775 [33] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=62|35=0|34=189|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:18:36.765|10=054|
2024-01-05 09:18:46.280 [33] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=258|35=8|34=190|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:18:46.279|11=HS_17043813880|37=FXX4ix0FS|198=qm2cx1030c|54=2|40=2|59=0|17=202401048|150=4|39=4|38=4652|151=0|14=0|6=0|44=197|60=20240104-15:16:53.005|22=4|48=US3390411052|207=XETR|15=EUR|55=[N/A]|58=resync|10=189|
2024-01-05 09:19:03.122 [34] [FixSender] (DEBUG) Sending 8=FIX.4.4|9=58|35=0|49=FIXCLIENT1|56=DMA_HUB|34=182|52=20240105-08:19:03|10=095|
2024-01-05 09:19:06.702 [33] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=62|35=0|34=191|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:19:06.702|10=036|
2024-01-05 09:19:33.127 [34] [FixSender] (DEBUG) Sending 8=FIX.4.4|9=58|35=0|49=FIXCLIENT1|56=DMA_HUB|34=183|52=20240105-08:19:33|10=099|
2024-01-05 09:19:36.651 [33] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=62|35=0|34=192|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:19:36.650|10=042|
2024-01-05 09:20:03.128 [34] [FixSender] (DEBUG) Sending 8=FIX.4.4|9=58|35=0|49=FIXCLIENT1|56=DMA_HUB|34=184|52=20240105-08:20:03|10=089|
2024-01-05 09:20:06.602 [33] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=62|35=0|34=193|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:20:06.602|10=029|
2024-01-05 09:20:33.130 [34] [FixSender] (DEBUG) Sending 8=FIX.4.4|9=58|35=0|49=FIXCLIENT1|56=DMA_HUB|34=185|52=20240105-08:20:33|10=093|
2024-01-05 09:20:36.553 [33] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=62|35=0|34=194|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:20:36.553|10=038|
